Run,Mean_Q_Time_Processor
0,0.0
1,0.0
2,0.17391304347826086
3,0.0
4,0.045454545454545456
5,0.041666666666666664
6,0.15384615384615385
7,0.28
8,0.08333333333333333
9,0.11538461538461539
10,0.0
11,0.0
12,0.2
13,0.12
14,0.0
15,0.04
16,0.0
17,0.20689655172413793
18,0.0
19,0.045454545454545456
20,0.043478260869565216
21,0.08695652173913043
22,0.16
23,0.13043478260869565
24,0.0
25,0.1111111111111111
26,0.0
27,0.07692307692307693
28,0.0
29,0.11538461538461539
30,0.0
31,0.10714285714285714
32,0.21428571428571427
33,0.14285714285714285
34,0.08695652173913043
35,0.2692307692307692
36,0.0
37,0.17857142857142858
38,0.3333333333333333
39,0.0
40,0.125
41,0.2
42,0.07692307692307693
43,0.041666666666666664
44,0.0
45,0.38461538461538464
46,0.42857142857142855
47,0.125
48,0.08333333333333333
49,0.0
50,0.038461538461538464
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.08695652173913043
57,0.041666666666666664
58,0.08
59,0.18181818181818182
60,0.2916666666666667
61,0.0
62,0.04
63,0.0
64,0.24
65,0.038461538461538464
66,0.08
67,0.04
68,0.0
69,0.0
70,0.0
71,0.037037037037037035
72,0.043478260869565216
73,0.0
74,0.0
75,0.125
76,0.037037037037037035
77,0.0
78,0.043478260869565216
79,0.04
80,0.37037037037037035
81,0.09523809523809523
82,0.38461538461538464
83,0.0
84,0.08695652173913043
85,0.2857142857142857
86,0.047619047619047616
87,0.041666666666666664
88,0.0
89,0.08695652173913043
90,0.0
91,0.15384615384615385
92,0.0
93,0.20833333333333334
94,0.08333333333333333
95,0.043478260869565216
96,0.0
97,0.0
98,0.17857142857142858
99,0.0
